 # &SUB apertr  0.3                                                              
  output from Ecalc9 version 2 
  settings: 
    particle type:            0
    pzmin/pzmax:    0.0000000000000000      /   0.0000000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    0.0000000000000000     
    sigma cut:    0.0000000000000000     
    subtract out amplitude correlation

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    28  0.1400E+00  0.0000E+00  0.2595E-03  0.3947E-04  0.4064E-11 -0.7864E+00  0.8864E-01  0.1758E-01 -0.3076E-01  0.2006E+00 -0.4012E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1438E-02  0.1118E-02  0.1918E-10  0.8361E+00  0.1473E-07  0.9399E-03  0.2574E-04  0.5695E-04 -0.1036E-01 -0.2932E-01  0.2007E-01  0.2231E-03
    30  0.1500E+00  0.0000E+00  0.2579E-03  0.4309E-04  0.4376E-11 -0.8644E+00  0.8783E-01  0.1904E-01 -0.1158E+00  0.2102E+00 -0.4155E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1572E-02  0.1130E-02  0.2069E-10  0.8386E+00  0.1592E-07  0.9547E-03  0.3618E-04  0.8407E-04 -0.2124E-01 -0.1361E-01  0.1119E+00  0.9641E-03
    32  0.1600E+00  0.0000E+00  0.2553E-03  0.4675E-04  0.4644E-11 -0.9805E+00  0.8704E-01  0.2128E-01 -0.8865E-01  0.2199E+00 -0.4329E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1765E-02  0.1139E-02  0.2221E-10  0.8420E+00  0.1722E-07  0.9687E-03  0.6201E-04  0.8644E-04 -0.1231E-01  0.2783E-02  0.1563E+00  0.1434E-02
    34  0.1700E+00  0.0000E+00  0.2535E-03  0.5047E-04  0.4950E-11 -0.1015E+01  0.8623E-01  0.2189E-01  0.3543E-01  0.2291E+00 -0.4567E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1814E-02  0.1151E-02  0.2375E-10  0.8463E+00  0.1850E-07  0.9847E-03  0.7801E-04  0.6460E-04  0.7203E-02  0.1451E-02  0.1226E+00  0.1186E-02
    36  0.1800E+00  0.0000E+00  0.2520E-03  0.5456E-04  0.5262E-11 -0.9151E+00  0.8541E-01  0.2004E-01  0.1359E+00  0.2386E+00 -0.4711E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1625E-02  0.1163E-02  0.2530E-10  0.8521E+00  0.1955E-07  0.9983E-03  0.6470E-04  0.3790E-04  0.1212E-01 -0.1373E-01  0.4616E-01  0.4750E-03
    38  0.1900E+00  0.0000E+00  0.2496E-03  0.5857E-04  0.5510E-11 -0.7758E+00  0.8456E-01  0.1739E-01  0.1074E+00  0.2464E+00 -0.4882E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1365E-02  0.1169E-02  0.2687E-10  0.8410E+00  0.2080E-07  0.1013E-02  0.3697E-04  0.3975E-04  0.3274E-02 -0.2592E-01 -0.5918E-02  0.1713E-04
    40  0.2000E+00  0.0000E+00  0.2473E-03  0.6298E-04  0.5776E-11 -0.7237E+00  0.8371E-01  0.1640E-01 -0.2399E-01  0.2532E+00 -0.5045E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1261E-02  0.1180E-02  0.2847E-10  0.8321E+00  0.2206E-07  0.1032E-02  0.2456E-04  0.6086E-04 -0.9780E-02 -0.2281E-01  0.2167E-01  0.2166E-03
    42  0.2100E+00  0.0000E+00  0.2449E-03  0.6799E-04  0.6060E-11 -0.8126E+00  0.8285E-01  0.1805E-01 -0.1329E+00  0.2580E+00 -0.5159E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1403E-02  0.1196E-02  0.3009E-10  0.8276E+00  0.2327E-07  0.1055E-02  0.3298E-04  0.7746E-04 -0.1160E-01 -0.1008E-01  0.9366E-01  0.7751E-03
    44  0.2200E+00  0.0000E+00  0.2427E-03  0.7246E-04  0.6353E-11 -0.9484E+00  0.8196E-01  0.2054E-01 -0.9576E-01  0.2639E+00 -0.5403E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1623E-02  0.1212E-02  0.3173E-10  0.8292E+00  0.2456E-07  0.1074E-02  0.5283E-04  0.8394E-04 -0.2660E-02 -0.4081E-02  0.1224E+00  0.1095E-02
    46  0.2300E+00  0.0000E+00  0.2409E-03  0.7694E-04  0.6636E-11 -0.9764E+00  0.8106E-01  0.2103E-01  0.5028E-01  0.2699E+00 -0.5659E+00  0.1000E+04  0.1000E+04  0.1000E+04 -0.1659E-02  0.1224E-02  0.3341E-10  0.8231E+00  0.2601E-07  0.1093E-02  0.6533E-04  0.7188E-04  0.3180E-02 -0.9515E-02  0.8742E-01  0.8411E-03
